iter	Passed	Remaining
0	0	159
1	1	157
2	2	151
3	3	149
4	3	144
5	4	141
6	5	139
7	5	137
8	6	136
9	7	135
10	7	134
11	8	133
12	9	132
13	9	132
14	10	131
15	11	130
16	12	129
17	12	128
18	13	127
19	14	128
20	15	128
21	15	127
22	16	126
23	17	125
24	17	124
25	18	124
26	19	123
27	19	122
28	20	121
29	21	120
30	21	119
31	22	118
32	23	117
33	23	117
34	24	116
35	25	115
36	27	119
37	28	119
38	28	119
39	29	118
40	30	118
41	31	118
42	32	118
43	33	118
44	34	117
45	34	116
46	35	116
47	36	115
48	37	115
49	38	114
50	38	113
51	40	114
52	40	113
53	41	112
54	42	112
55	43	111
56	44	110
57	45	110
58	45	109
59	46	108
60	47	108
61	48	107
62	49	107
63	50	106
64	51	105
65	51	105
66	53	105
67	53	104
68	54	103
69	55	102
70	56	101
71	56	100
72	57	100
73	58	99
74	59	98
75	60	98
76	61	97
77	62	97
78	63	96
79	64	96
80	65	95
81	66	95
82	67	94
83	68	94
84	68	93
85	69	92
86	70	91
87	71	90
88	72	89
89	72	89
90	73	88
91	74	87
92	75	86
93	75	85
94	76	84
95	77	83
96	78	83
97	79	82
98	80	81
99	80	80
100	81	79
101	82	79
102	82	78
103	83	77
104	84	76
105	85	75
106	85	74
107	86	73
108	87	73
109	88	72
110	89	71
111	90	70
112	91	70
113	91	69
114	92	68
115	93	67
116	93	66
117	94	65
118	95	65
119	96	64
120	97	63
121	98	62
122	98	61
123	99	61
124	100	60
125	101	59
126	102	58
127	103	57
128	103	57
129	104	56
130	105	55
131	106	54
132	106	53
133	107	53
134	108	52
135	109	51
136	109	50
137	110	49
138	111	48
139	112	48
140	113	47
141	114	46
142	115	45
143	116	45
144	116	44
145	117	43
146	118	42
147	119	41
148	119	40
149	120	40
150	121	39
151	122	38
152	123	37
153	123	37
154	124	36
155	125	35
156	126	34
157	127	33
158	128	33
159	129	32
160	130	31
161	131	30
162	132	29
163	132	29
164	133	28
165	134	27
166	134	26
167	135	25
168	136	25
169	137	24
170	137	23
171	138	22
172	139	21
173	139	20
174	140	20
175	141	19
176	142	18
177	142	17
178	143	16
179	144	16
180	145	15
181	145	14
182	146	13
183	147	12
184	148	12
185	148	11
186	149	10
187	150	9
188	151	8
189	151	7
190	152	7
191	153	6
192	154	5
193	155	4
194	155	3
195	156	3
196	157	2
197	158	1
198	159	0
199	160	0
