iter	Passed	Remaining
0	0	154
1	1	141
2	2	140
3	2	139
4	3	138
5	4	135
6	4	131
7	5	129
8	6	127
9	6	124
10	8	141
11	8	138
12	9	136
13	10	133
14	10	130
15	11	136
16	12	134
17	12	131
18	13	128
19	14	126
20	14	124
21	15	121
22	15	119
23	16	117
24	16	116
25	17	114
26	17	112
27	18	111
28	18	109
29	19	112
30	20	111
31	20	109
32	21	109
33	22	108
34	22	107
35	23	106
36	24	106
37	24	104
38	25	103
39	25	102
40	26	102
41	26	101
42	27	100
43	27	99
44	28	97
45	28	96
46	29	95
47	29	94
48	30	92
49	30	92
50	31	91
51	32	93
52	33	91
53	33	90
54	33	89
55	34	88
56	34	87
57	35	86
58	35	84
59	35	83
60	36	82
61	36	81
62	37	80
63	37	79
64	38	78
65	38	77
66	40	80
67	40	79
68	41	78
69	41	77
70	42	76
71	42	75
72	42	74
73	43	73
74	43	72
75	45	73
76	45	72
77	45	71
78	46	70
79	46	70
80	48	71
81	49	70
82	50	70
83	50	70
84	52	71
85	53	71
86	54	70
87	55	70
88	55	69
89	56	69
90	57	68
91	58	68
92	58	67
93	59	66
94	59	66
95	60	65
96	61	64
97	61	64
98	62	63
99	62	62
100	63	62
101	64	61
102	64	61
103	65	60
104	65	59
105	66	58
106	66	58
107	67	57
108	67	56
109	68	55
110	68	55
111	70	55
112	71	54
113	71	53
114	72	53
115	72	52
116	72	51
117	73	50
118	73	50
119	74	49
120	74	48
121	75	48
122	76	47
123	76	46
124	76	46
125	77	45
126	77	44
127	78	44
128	78	43
129	79	42
130	79	41
131	80	41
132	80	40
133	80	39
134	81	39
135	82	38
136	83	38
137	83	37
138	84	36
139	84	36
140	84	35
141	85	34
142	85	34
143	86	33
144	86	32
145	87	32
146	87	31
147	88	30
148	88	30
149	89	29
150	89	29
151	90	28
152	90	27
153	90	27
154	91	26
155	91	25
156	92	25
157	92	24
158	93	24
159	94	23
160	95	23
161	95	22
162	96	21
163	96	21
164	96	20
165	97	19
166	97	19
167	98	18
168	98	18
169	99	17
170	99	16
171	100	16
172	100	15
173	100	15
174	101	14
175	101	13
176	102	13
177	102	12
178	103	12
179	103	11
180	104	10
181	104	10
182	104	9
183	105	9
184	106	8
185	106	8
186	107	7
187	107	6
188	108	6
189	108	5
190	108	5
191	109	4
192	109	3
193	110	3
194	110	2
195	111	2
196	111	1
197	112	1
198	112	0
199	113	0
